epoca,train_vistas,train_vistas_sd,train_nuevas,train_nuevas_sd,val,val_sd
200,0.09953551879152656,0.026562259862600076,0.1146386267694955,0.028579326959852984,0.13851034175604582,0.020114287221294994
210,0.0943470427300781,0.027761853390074573,0.11334511113818735,0.03378474991363668,0.14018149860203266,0.02923021508065479
220,0.10080822370946407,0.036071895212264414,0.1154354193713516,0.033388194749960604,0.1392538659274578,0.024694038010252967
230,0.09484324674122036,0.03138053990394609,0.1148728388749684,0.03587612473489868,0.14387247964207614,0.02561997911532747
240,0.09660856612026691,0.017190191111306232,0.1175159247747312,0.02768610193418657,0.15417821891605854,0.025276760381945436
250,0.10139536135829985,0.030258460271820435,0.11929180395479004,0.03338329168873766,0.13960792536714248,0.029170269984302197
260,0.09224620088934898,0.023856624498499703,0.11308333529935528,0.032835123305575906,0.13834716605820827,0.02944267260752287
270,0.09972451673820615,0.030528933287901804,0.11697871210829665,0.026688181962055166,0.16496918882642472,0.030709684285890212
280,0.09508058294886723,0.01736212597916775,0.11876902744794886,0.025494912720942835,0.1620144597919924,0.03318793289007904
290,0.08557653171010315,0.01352602823181421,0.1116618534627681,0.028779199692663706,0.154541744983622,0.030500579464969854
300,0.11549069569446146,0.03545281390188367,0.13224387809168547,0.02826530227395601,0.1714517136237451,0.015870412658371812
310,0.10176447860430926,0.03247352113696986,0.11976339982356876,0.04043847526049423,0.16121223143168859,0.04107238756284804
320,0.09744794410653412,0.026801158506876636,0.11775359678237389,0.033010195257172366,0.14624224470130034,0.03197116733247255
330,0.08776813372969627,0.01274639655924294,0.1076489252736792,0.023769817108776275,0.151039729293968,0.03548314974639762
340,0.09221074695233256,0.032653827958977415,0.11154257477028295,0.024789268454346904,0.1917175097124917,0.034728678769617445
350,0.08979236689629033,0.03152771500023585,0.10594283847603947,0.02674346191814167,0.1916510139458946,0.038823779466337804
360,0.0777441589452792,0.023327387951185028,0.10389514366397634,0.03060919794591902,0.19634408729949168,0.07234782290697724
370,0.079305295686936,0.011655698996218154,0.10642150820543368,0.027109299726102886,0.18123220359640463,0.0638575883031323
380,0.07910548307700083,0.016029931014134108,0.10491874536576991,0.028126554079652612,0.17884122926209653,0.06993719690209768
